City,State,County,Lat,Lng,Population,Area,Job,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year
Herman,NE,Washington,41.6609,-96.28273,838,Urban,Senior tax professional/tax inspector,0,32,13359.18,Married,Female,Yes,8.925549447,10,1,1,No,Month-to-month,Yes,Yes,None,Yes,No,No,No,No,Yes,Yes,No,No,Mailed Check,2.704019894,117.472036,476.2957809
Mingo,IA,Jasper,41.78066,-93.27442,780,Rural,Geoscientist,0,55,20761.43,Separated,Male,Yes,10.01977372,10,0,0,No,One year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Mailed Check,1.656338685,187.481057,1097.557516
Mondamin,IA,Harrison,41.73047,-95.9926,797,Suburban,Interior and spatial designer,3,32,21486.46,Widowed,Male,Yes,5.349482623,8,1,0,No,Two Year,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Bank Transfer(automatic),14.89720747,225.145743,2539.76136
Joint Base Mdl,NJ,Burlington,40.02703,-74.58801,4478,Urban,Community education officer,5,39,40725.32,Widowed,Male,Yes,10.27136063,17,2,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Electronic Check,13.76871228,184.993915,1801.182918
Odessa,NE,Buffalo,40.70235,-99.25879,91,Urban,"Librarian, public",2,30,44831.61,Divorced,Female,No,12.24849045,9,2,0,No,Month-to-month,Yes,Yes,None,No,No,No,Yes,Yes,No,No,Yes,Yes,Electronic Check,18.66504433,149.984492,1990.914106
Pawnee Rock,KS,Barton,38.2727,-98.97772,469,Urban,Energy manager,2,38,36574.2,Divorced,Female,Yes,4.771959745,10,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,No,Electronic Check,13.01023159,182.465269,1469.359942
Bluefield,VA,Tazewell,37.2448,-81.36637,8685,Urban,Biomedical engineer,1,87,40921.71,Widowed,Male,No,11.53388751,13,1,2,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),5.803901847,129.948316,1041.301237
Dryden,WA,Chelan,47.55177,-120.55942,313,Suburban,"Scientist, biomedical",3,73,32746.0,Never Married,Female,Yes,11.90094641,8,0,0,No,Month-to-month,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Mailed Check,5.295927221,152.47417,1109.108163
Newark,NY,Wayne,43.07281,-77.09531,13970,Urban,"Engineer, civil (consulting)",0,45,73919.79,Married,Male,No,14.34560232,14,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Credit Card (automatic),2.463011656,207.49737,692.3788089
Pecatonica,IL,Winnebago,42.31215,-89.34733,4260,Rural,Environmental health practitioner,3,21,64292.47,Divorced,Female,Yes,8.659099436,13,0,0,Yes,Month-to-month,No,No,DSL,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Electronic Check,14.04985628,154.991856,2072.078593
Goodell,IA,Hancock,42.94568,-93.63519,168,Suburban,Historic buildings inspector/conservation officer,2,29,73331.45,Divorced,Female,No,12.27991447,11,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,Yes,Electronic Check,4.849677072,137.468591,692.5685037
Boothville,LA,Plaquemines,29.32532,-89.3987,250,Urban,Clinical psychologist,0,31,50561.44,Never Married,Female,No,6.573582085,9,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Mailed Check,9.595456517,207.481057,1366.210807
Rutherford College,NC,Burke,35.7527,-81.52783,577,Suburban,Fine artist,0,37,39478.06,Never Married,Female,No,10.47189661,9,0,1,Yes,One year,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Credit Card (automatic),15.16937697,137.439154,1476.963855
Garrison,TX,Nacogdoches,31.8136,-94.5254,3543,Suburban,Financial manager,2,57,40460.35,Divorced,Female,Yes,13.32211645,15,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Electronic Check,9.195415365,252.62403,1321.204826
Hudson,SD,Lincoln,43.1219,-96.55136,830,Urban,Financial controller,0,26,33602.96,Never Married,Female,No,5.439572058,6,0,0,No,Month-to-month,Yes,No,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),13.04114417,194.999168,1557.923129
Denton,GA,Jeff Davis,31.72255,-82.75262,650,Urban,"Therapist, horticultural",4,36,58590.12,Never Married,Female,Yes,7.84599874,12,1,1,Yes,Month-to-month,Yes,No,None,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Electronic Check,1.79772408,152.509013,740.0368256
Clinton,IA,Clinton,41.90219,-90.25075,26943,Suburban,"Designer, jewellery",4,60,38692.31,Widowed,Male,Yes,10.9725355,11,2,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Bank Transfer(automatic),9.923586914,267.664655,1640.006106
Cherry Fork,OH,Adams,38.8855,-83.61635,13,Urban,Claims inspector/assessor,1,74,8882.51,Divorced,Male,No,16.53887592,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,No,Yes,Electronic Check,5.36237356,157.469817,545.6211065
Georgetown,TN,Bradley,35.30247,-84.93328,4381,Rural,Audiological scientist,1,35,36384.62,Widowed,Male,No,15.56284947,15,1,0,No,One year,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Credit Card (automatic),3.317348927,154.975543,1258.06366
Raymond,SD,Clark,44.88631,-97.91985,124,Rural,Farm manager,4,59,22107.4,Separated,Female,No,8.121051317,10,2,0,No,One year,No,No,DSL,Yes,No,No,No,No,No,Yes,No,No,Mailed Check,10.79186592,117.439154,1582.783024
Omaha,NE,Sarpy,41.16889,-96.18671,17808,Rural,"Administrator, charities/voluntary organisations",2,66,25472.79,Widowed,Female,No,5.921988779,13,1,0,No,Month-to-month,Yes,No,None,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Electronic Check,11.7391369,142.485486,1335.902829
Diamondhead,MS,Hancock,30.38174,-89.37028,8149,Urban,"Administrator, sports",0,22,33543.36,Married,Female,No,11.08657399,8,0,1,Yes,Two Year,No,No,Fiber Optic,No,Yes,No,No,No,No,No,No,No,Mailed Check,4.709035899,144.960655,545.1832765
Bicknell,UT,Wayne,38.28997,-111.54894,278,Suburban,Advertising copywriter,1,32,18555.15,Never Married,Nonbinary,No,8.406366357,12,0,0,No,One year,No,No,None,Yes,No,No,No,Yes,Yes,Yes,No,No,Electronic Check,1.611546284,129.994975,463.6509838
Conklin,MI,Ottawa,43.13495,-85.8519,2618,Urban,Sports administrator,5,72,40108.38,Married,Male,Yes,13.05019837,5,1,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,11.55987401,129.962093,1766.074131
Hartford,SD,Minnehaha,43.61914,-96.95759,5467,Urban,Magazine features editor,1,34,18762.01,Separated,Nonbinary,Yes,12.017333,14,0,1,No,Month-to-month,Yes,No,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Mailed Check,5.261212465,212.655686,1101.650764
Grafton,IL,Jersey,39.00931,-90.4676,2205,Urban,"Presenter, broadcasting",3,77,70372.16,Separated,Female,No,10.51532824,12,0,0,No,Two Year,No,No,None,Yes,No,No,No,No,No,Yes,No,Yes,Electronic Check,15.806584,104.962874,1490.383762
Eastchester,NY,Westchester,40.95459,-73.80935,9663,Suburban,"Nurse, adult",1,27,6424.15,Widowed,Female,No,6.056073185,8,3,1,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic Check,13.17849974,147.478341,1328.747604
Pullman,WA,Whitman,46.73104,-117.1522,0,Suburban,"Psychotherapist, child",0,48,67012.93,Separated,Male,No,5.900461334,9,1,1,No,Month-to-month,No,No,None,Yes,Yes,No,Yes,No,No,No,No,No,Bank Transfer(automatic),11.58317216,134.980139,1199.466728
Rock View,WV,Wyoming,37.6439,-81.5376,215,Rural,"Psychotherapist, dance movement",2,67,34090.24,Married,Female,Yes,4.455529019,8,0,1,No,Month-to-month,No,No,None,Yes,No,No,No,Yes,No,No,Yes,No,Bank Transfer(automatic),12.05713486,127.488728,1234.176575
Georgetown,LA,Grant,31.75124,-92.4713,1436,Urban,Hospital pharmacist,0,42,20841.67,Separated,Male,No,10.02323853,12,2,1,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Credit Card (automatic),9.137809439,184.967019,1196.870152
Newberry Springs,CA,San Bernardino,34.89976,-116.6491,2792,Rural,Insurance risk surveyor,0,48,12000.1,Married,Female,Yes,5.114025367,7,1,1,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Bank Transfer(automatic),6.991642782,182.467607,927.9297296
Kansas City,KS,Wyandotte,39.08692,-94.63847,2479,Urban,English as a second language teacher,2,87,29812.92,Separated,Female,No,6.988268456,12,0,0,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Mailed Check,9.637781398,162.500692,984.2036034
Warrenville,IL,DuPage,41.82275,-88.18134,13448,Suburban,Restaurant manager,4,43,49710.21,Married,Male,Yes,14.96043073,11,1,0,No,Month-to-month,No,No,DSL,Yes,Yes,No,No,Yes,No,No,Yes,No,Electronic Check,2.368283285,172.470522,1148.280787
South Windsor,CT,Hartford,41.83528,-72.57331,25823,Rural,Passenger transport manager,4,20,70419.88,Divorced,Female,No,12.36821127,7,2,0,Yes,One year,No,Yes,None,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Mailed Check,9.651065829,212.669463,1719.483972
Sneedville,TN,Hancock,36.51846,-83.24129,4685,Suburban,"Therapist, drama",0,48,70133.7,Married,Male,Yes,10.87926101,13,2,0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Credit Card (automatic),8.730405893,257.63748,1880.78289
Flora Vista,NM,San Juan,36.81831,-108.09743,1370,Rural,Maintenance engineer,1,21,78537.66,Widowed,Male,Yes,15.55101617,9,0,0,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Electronic Check,4.173314039,222.628057,1560.361086
Forsan,TX,Howard,32.10287,-101.36544,224,Urban,"Radiographer, diagnostic",7,34,42917.45,Divorced,Male,No,8.211187999,7,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Credit Card (automatic),15.42700763,152.479779,1930.805216
Rockville,MO,Bates,38.06166,-94.04584,541,Rural,"Administrator, education",4,50,18414.04,Widowed,Male,Yes,6.911626144,14,0,2,No,Month-to-month,No,No,None,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Bank Transfer(automatic),3.679255472,142.485486,836.5749555
Argillite,KY,Greenup,38.44573,-82.83392,1209,Suburban,Health and safety adviser,0,35,32399.51,Divorced,Male,No,6.271196467,10,1,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Credit Card (automatic),10.34327947,162.471255,1224.604104
Victoria,IL,Knox,41.02164,-90.09832,447,Suburban,"Programme researcher, broadcasting/film/video",0,76,8716.12,Divorced,Male,Yes,10.52545349,10,1,1,No,Month-to-month,No,No,None,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Electronic Check,5.451895614,159.964152,765.8624235
Malden,WA,Whitman,47.21717,-117.46393,271,Rural,Applications developer,1,38,97592.52,Never Married,Female,Yes,9.699996141,11,0,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Credit Card (automatic),12.81881129,194.958118,1553.013845
Mary D,PA,Schuylkill,40.75544,-76.05854,197,Urban,Tree surgeon,0,75,28704.22,Separated,Male,No,11.00710107,15,0,0,No,Two Year,No,No,DSL,Yes,Yes,No,No,No,No,Yes,No,No,Mailed Check,8.277054038,149.944668,1320.132625
Tucker,AR,Jefferson,34.43846,-91.97079,2475,Urban,Music tutor,3,37,43995.62,Never Married,Female,No,13.86336803,12,0,0,Yes,Two Year,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Credit Card (automatic),14.31596419,182.460772,1642.394079
Barrytown,NY,Dutchess,42.00374,-73.92069,236,Urban,"Teacher, special educational needs",3,67,26659.08,Separated,Male,Yes,3.294848551,11,2,0,No,Two Year,No,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Mailed Check,5.259033624,204.949594,876.2446802
Mc Gehee,AR,Desha,33.62065,-91.3695,4292,Suburban,Community education officer,0,81,14623.21,Never Married,Female,Yes,8.888970383,7,1,1,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Credit Card (automatic),4.245035615,164.985293,1083.381195
Pollocksville,NC,Jones,34.9965,-77.19903,2053,Rural,"Psychologist, prison and probation services",3,26,53713.12,Never Married,Male,Yes,7.054722377,7,2,0,Yes,One year,Yes,Yes,None,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Electronic Check,4.035770971,172.503404,900.6921852
Mendon,UT,Cache,41.72579,-111.99279,2358,Rural,Visual merchandiser,1,20,7598.57,Divorced,Male,Yes,7.14125345,17,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),6.434280902,277.651257,1482.558282
Addieville,IL,Washington,38.37808,-89.61173,1242,Urban,"Lecturer, further education",3,20,23773.72,Married,Male,Yes,5.965254402,4,0,0,No,One year,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Mailed Check,5.425068599,275.133571,1386.2317
Eagle,ID,Ada,43.77416,-116.39257,28275,Suburban,"Editor, commissioning",0,18,29810.9,Never Married,Nonbinary,No,8.159988366,11,0,0,No,Two Year,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Mailed Check,2.729451922,152.510442,970.4333183
Joffre,PA,Washington,40.38103,-80.35979,116,Urban,Animal nutritionist,0,37,47683.58,Never Married,Female,No,5.729233184,7,1,2,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),5.134989649,184.971516,806.2451255
Halifax,VA,Halifax,36.77422,-78.95414,6037,Rural,Chief Strategy Officer,4,36,39770.82,Never Married,Female,Yes,10.86747966,17,2,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),4.816592997,184.967019,938.5556359
Valley Park,MS,Issaquena,32.62288,-90.8004,142,Rural,Immigration officer,0,64,83953.98,Separated,Female,No,10.56770254,14,2,0,No,One year,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,No,No,No,Mailed Check,3.861708438,129.977753,853.1123448
Kansas City,MO,Platte,39.33093,-94.63239,213,Urban,Ranger/warden,5,56,76785.63,Widowed,Female,Yes,9.718721513,9,1,1,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Electronic Check,11.58576976,275.119794,1706.688082
Grayson,GA,Gwinnett,33.89012,-83.96318,24416,Rural,Physiotherapist,1,34,37860.53,Separated,Female,No,11.6041258,8,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,1.740841699,194.958118,658.4234711
Medicine Lake,MT,Sheridan,48.51172,-104.53507,321,Suburban,Health and safety adviser,2,44,18073.86,Divorced,Male,No,8.606588238,8,1,0,No,Month-to-month,No,No,None,Yes,Yes,Yes,No,No,No,No,No,No,Electronic Check,4.906579535,115.002061,708.2981607
Woodland,IL,Iroquois,40.71892,-87.734,294,Suburban,Recruitment consultant,2,62,45860.11,Never Married,Male,No,10.01552859,13,0,0,No,Month-to-month,Yes,No,Fiber Optic,No,Yes,No,Yes,No,No,Yes,No,Yes,Bank Transfer(automatic),15.90065569,192.440432,1729.48154
Sarepta,LA,Webster,32.9238,-93.45567,2578,Rural,Patent attorney,1,32,24499.96,Married,Female,Yes,11.30041277,9,0,0,No,Month-to-month,Yes,Yes,DSL,No,No,No,No,Yes,No,No,Yes,No,Electronic Check,1.276890621,139.965008,848.3285479
Copan,OK,Washington,36.93185,-95.97937,1864,Urban,"Buyer, retail",1,34,4493.49,Married,Female,Yes,10.41328888,9,1,1,No,One year,No,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,No,Credit Card (automatic),5.915225146,182.443347,1302.621469
Woodsfield,OH,Monroe,39.74329,-81.0998,4901,Suburban,Tree surgeon,1,26,17649.89,Separated,Male,Yes,7.694429352,9,0,1,Yes,Month-to-month,No,No,None,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Credit Card (automatic),2.646328849,159.964152,730.6968601
Mount Crawford,VA,Rockingham,38.33919,-78.89682,2840,Suburban,"Engineer, manufacturing",4,46,9035.25,Divorced,Female,Yes,12.37922958,12,0,2,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,Credit Card (automatic),13.7944302,139.934918,1965.419062
Cando,ND,Towner,48.48026,-99.22158,1397,Urban,"Surveyor, building control",3,57,60251.75,Divorced,Male,Yes,13.65070244,11,2,0,No,Month-to-month,No,Yes,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,1.550579619,177.65076,771.5712211
Galva,KS,McPherson,38.38074,-97.52213,1655,Rural,Building control surveyor,2,54,17773.11,Separated,Female,Yes,9.846699861,12,0,0,No,Two Year,No,Yes,DSL,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Mailed Check,10.03364243,210.105118,1830.93361
Goodman,MS,Holmes,32.93484,-89.89868,1769,Suburban,Senior tax professional/tax inspector,1,60,47573.47,Married,Female,Yes,13.03239121,14,1,0,Yes,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,No,No,Bank Transfer(automatic),14.63294721,172.44408,1486.699299
Jamestown,CA,Tuolumne,37.86071,-120.47967,7711,Suburban,"Administrator, Civil Service",0,43,47529.47,Married,Female,Yes,13.17617062,14,1,0,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,Yes,No,Yes,Mailed Check,7.380291282,117.472036,823.39436
Lansing,MI,Ingham,42.78453,-84.58757,26086,Suburban,Information systems manager,0,89,71934.85,Married,Female,Yes,13.25327303,10,0,0,No,Month-to-month,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Yes,Yes,No,Electronic Check,2.371911572,210.12704,594.5451059
South Webster,OH,Scioto,38.80766,-82.6944,2090,Suburban,Research scientist (maths),1,77,32149.05,Widowed,Male,No,9.751665909,8,2,1,No,One year,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Electronic Check,4.905988692,192.470522,738.8929143
Marksville,LA,Avoyelles,31.17737,-91.96282,10891,Suburban,Ceramics designer,3,89,17714.64,Never Married,Male,Yes,7.639596437,15,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Mailed Check,1.59959844,169.937833,427.0934802
Entiat,WA,Chelan,47.86645,-120.47564,1909,Rural,Armed forces logistics/support/administrative officer,4,39,21128.1,Separated,Male,Yes,10.28840622,13,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Electronic Check,27.46106977,222.649979,3069.566918
Thorndale,TX,Milam,30.62971,-97.16969,3052,Suburban,Site engineer,2,58,17104.94,Married,Male,Yes,11.22141288,15,0,1,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Mailed Check,1.457335487,200.118516,1072.481938
Lenox,MO,Dent,37.64613,-91.76623,231,Suburban,Physiological scientist,0,88,6953.72,Divorced,Male,Yes,10.35968528,14,0,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,9.759495559,190.12704,1663.694612
Far Rockaway,NY,Queens,40.5965,-73.81676,12919,Urban,Mudlogger,4,27,68776.91,Separated,Male,No,9.42589315,14,1,0,No,Month-to-month,Yes,No,None,Yes,No,No,No,Yes,No,Yes,No,Yes,Credit Card (automatic),16.66814552,117.485813,1887.894567
Sinton,TX,San Patricio,28.09173,-97.54469,9481,Suburban,Financial controller,0,85,55859.65,Married,Male,No,8.978754052,14,2,0,No,Month-to-month,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Electronic Check,14.38485335,142.468917,1794.480836
Thompson Ridge,NY,Orange,41.58358,-74.3732,189,Suburban,Phytotherapist,1,21,36226.45,Separated,Male,No,10.0260969,13,1,0,Yes,One year,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Yes,No,No,Electronic Check,1.443775322,142.471255,985.5778302
Friars Point,MS,Coahoma,34.3639,-90.61966,1284,Urban,Energy manager,1,23,44520.0,Widowed,Female,Yes,14.17316345,13,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Credit Card (automatic),9.349597147,275.133571,1589.339963
Hopeton,OK,Woods,36.68504,-98.65759,29,Rural,Manufacturing engineer,2,72,43738.55,Separated,Male,No,10.07197012,12,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Credit Card (automatic),4.945014197,162.482694,792.520824
Pawtucket,RI,Providence,41.87853,-71.35227,25044,Suburban,Multimedia specialist,0,37,10772.59,Married,Female,No,7.024369189,11,0,1,No,Month-to-month,No,No,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Mailed Check,8.015401085,114.983787,793.2826057
King And Queen Court House,VA,King and Queen,37.70648,-76.84128,678,Suburban,Advertising art director,2,31,55821.74,Divorced,Female,Yes,3.888998584,12,1,1,No,Two Year,No,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Electronic Check,1.153881327,204.949594,580.0697389
Arlington,TX,Tarrant,32.75425,-97.08254,22640,Urban,Hospital pharmacist,3,29,88584.08,Separated,Female,No,7.336069408,16,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,Yes,Credit Card (automatic),18.09905454,147.460067,1738.098524
Tacna,AZ,Yuma,32.71939,-113.83951,510,Urban,"Production assistant, television",1,80,6274.49,Widowed,Male,Yes,7.98755916,13,0,2,Yes,Month-to-month,Yes,Yes,None,Yes,No,No,No,Yes,Yes,No,Yes,No,Electronic Check,2.625315241,139.99789,474.5558784
Saint Albans Bay,VT,Franklin,44.77291,-73.20506,0,Suburban,Games developer,1,23,7371.1,Divorced,Male,Yes,8.397641269,15,4,1,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Mailed Check,11.20984456,190.12704,2026.429158
Buffalo,TX,Leon,31.46233,-96.01473,5494,Rural,"Surveyor, land/geomatics",1,70,20377.63,Married,Female,Yes,10.72236279,7,1,1,No,One year,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,5.566520625,222.632554,1434.828418
Wilcox,NE,Kearney,40.33233,-99.18016,649,Urban,Contractor,4,41,20412.53,Married,Male,No,9.957228621,17,3,0,Yes,One year,No,Yes,None,Yes,No,Yes,Yes,No,No,No,Yes,No,Credit Card (automatic),2.380500918,139.979239,754.4414431
Boston,MA,Suffolk,42.34777,-71.10282,25619,Rural,Ship broker,0,33,49397.46,Divorced,Female,No,11.24862413,14,3,0,Yes,One year,No,No,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Credit Card (automatic),8.840888613,172.44408,1069.849043
Devens,MA,Worcester,42.53854,-71.6115,1875,Urban,"Designer, ceramics/pottery",4,19,38914.23,Divorced,Female,No,8.850529612,15,2,0,Yes,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,No,Bank Transfer(automatic),8.137267032,179.947583,1118.73994
Lyle,MN,Mower,43.52651,-92.96659,822,Rural,"Nurse, mental health",0,72,37340.2,Separated,Female,Yes,11.06857815,9,0,0,Yes,Month-to-month,No,No,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Electronic Check,2.010811355,172.440432,863.4623731
Fairfield Bay,AR,Van Buren,35.59806,-92.26694,2677,Rural,Technical sales engineer,1,43,22303.29,Divorced,Female,Yes,9.565152901,13,2,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,1.591333405,240.114868,708.9358044
Grace,ID,Caribou,42.52144,-111.7597,2278,Rural,"Radiographer, therapeutic",0,23,7211.12,Divorced,Male,No,8.482888636,13,0,0,Yes,One year,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Yes,No,Yes,Mailed Check,7.918062789,152.479779,1136.110777
Merry Hill,NC,Bertie,36.0645,-76.77187,1298,Suburban,Customer service manager,1,20,58333.09,Married,Female,Yes,9.652139761,16,0,0,No,Month-to-month,No,No,None,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Mailed Check,1.515452465,210.138,804.489391
Garrettsville,OH,Portage,41.30653,-81.0724,8777,Rural,"Surveyor, building control",0,56,46257.12,Widowed,Male,Yes,8.539641939,12,1,0,No,Month-to-month,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Bank Transfer(automatic),3.857300987,154.975543,1202.670117
Paynesville,WV,McDowell,37.36594,-81.87873,638,Urban,Accounting technician,3,69,94363.97,Divorced,Female,No,10.64291697,11,1,2,Yes,One year,Yes,No,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Mailed Check,7.882710227,127.442069,1244.709018
Boulder,CO,Boulder,40.00378,-105.26138,7291,Urban,Archaeologist,0,60,15902.97,Never Married,Male,Yes,11.20520071,13,0,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Electronic Check,3.950587999,162.446995,1040.272445
Camden,SC,Kershaw,34.31226,-80.59702,21408,Rural,Senior tax professional/tax inspector,3,88,11586.87,Widowed,Female,No,8.063335935,12,1,0,No,One year,No,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,No,Credit Card (automatic),14.02849733,230.105118,1664.080114
Naples,FL,Collier,26.11803,-81.74163,27543,Urban,Fine artist,2,23,29621.97,Widowed,Male,Yes,13.31380475,11,1,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,6.721823696,262.610632,1366.71852
Litchfield,ME,Kennebec,44.16247,-69.93987,3622,Rural,"Lecturer, further education",2,82,30594.26,Never Married,Female,Yes,8.081619837,11,0,0,Yes,One year,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,No,Electronic Check,12.51401968,187.609354,1848.378413
Gandeeville,WV,Roane,38.68671,-81.47946,543,Suburban,Sports development officer,2,69,19287.42,Divorced,Male,No,12.51549843,14,1,0,No,Two Year,No,No,DSL,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,9.485268741,104.97808,1352.986244
